Satisfaction with Environment,"Response options to ""What barriers, if any, have prevented you from making more changes to your lifestyle to help tackle environmental issues?""",Estimate (%),LCL,UCL,Sample size
Low,I think large polluters should change before individuals,45,42,49,"2,090"
Low,I do not feel it is my personal responsibility,3,2,4,"2,090"
Low,I do not think I will have any effect on environmental issues,13,11,15,"2,090"
Low,I think environmental issues are exaggerated,2,1,2,"2,090"
Low,I do not believe in climate change,1,1,1,"2,090"
Low,I am not interested,1,0,1,"2,090"
Low,I do not think eco-friendly alternatives are as good,8,7,10,"2,090"
Low,It is too expensive,51,47,54,"2,090"
Low,I do not have the time,11,9,13,"2,090"
Low,I do not know what more I could do,27,24,30,"2,090"
Low,"Other, please specify",8,6,10,"2,090"
Low,No reason,11,8,13,"2,090"
Not low,I think large polluters should change before individuals,34,32,37,"3,150"
Not low,I do not feel it is my personal responsibility,2,2,3,"3,150"
Not low,I do not think I will have any effect on environmental issues,13,11,15,"3,150"
Not low,I think environmental issues are exaggerated,7,5,8,"3,150"
Not low,I do not believe in climate change,3,2,4,"3,150"
Not low,I am not interested,3,2,4,"3,150"
Not low,I do not think eco-friendly alternatives are as good,11,10,13,"3,150"
Not low,It is too expensive,41,38,44,"3,150"
Not low,I do not have the time,8,6,10,"3,150"
Not low,I do not know what more I could do,27,25,30,"3,150"
Not low,"Other, please specify",3,2,4,"3,150"
Not low,No reason,16,14,18,"3,150"
